"eh1" "eh2" "p.val" "adj.pval"
516 426 0.500083477164842 1
849 825 0.935656507512894 1
312 296 0.640991928949324 1
418 573 0.0657166577440795 0.679351060502625
1619 1335 0.00112384479979675 0.0280961199949189
394 384 0.891593529613354 1
1079 1318 0.524971725483844 1
358 387 0.669282088236163 1
511 488 0.912682997102547 1
831 805 0.813768442276296 1
388 372 0.864134752061272 1
339 332 0.945592674307752 1
580 588 0.973122393405903 1
715 923 0.336835473665969 1
311 275 0.641278354691655 1
502 460 0.820477972137336 1
416 845 1.49664691099612e-15 2.99329382199223e-13
404 358 0.708901272149627 1
418 427 0.966009921252058 1
510 627 0.529223033526698 1
224 221 0.890876763868091 1
264 355 0.0232862280159345 0.327975042477951
754 1191 3.26511164969263e-07 2.72092637474386e-05
629 563 0.707554423168094 1
459 418 0.817898275039685 1
489 529 0.844000798764838 1
351 297 0.302448608038123 1
3807 2004 0.183501633732966 1
276 253 0.862146643887207 1
157 136 0.769049640638465 1
519 400 0.517523315698718 1
455 538 0.241840113764329 1
317 374 0.22928336832064 1
343 303 0.562340270364571 1
105 107 0.967835759270686 1
453 470 0.918437642403659 1
637 742 0.678549140604727 1
932 780 0.0532543904813094 0.587546055914309
372 300 0.323743837310201 1
180 181 0.999936657516334 1
241 301 0.566111733155997 1
138 197 0.0556330502906612 0.604707068376752
212 260 0.389910562847866 1
540 502 0.866592968084216 1
330 334 0.890079820991244 1
231 221 0.925924585932176 1
847 926 0.309495465881256 1
922 971 0.465544302832788 1
645 622 0.922265212909135 1
347 340 0.944744168819467 1
496 442 0.116848726722688 0.898513351460185
1079 977 0.805893075091281 1
260 282 0.848157881395931 1
219 222 0.960301122525292 1
341 320 0.746218487862856 1
562 485 0.634949913401743 1
315 389 0.500235870485241 1
696 721 0.507223712217723 1
770 702 0.3863124350653 1
1074 1123 0.876139342683974 1
539 474 0.693735242786838 1
505 513 0.934346964682471 1
346 566 0.0324796282920288 0.416405490923446
790 798 0.95022460387035 1
1354 1294 0.921970446349662 1
664 816 0.000139585656295583 0.00536867908829165
807 1030 1.02758699859168e-05 0.000540835262416673
735 725 0.958852723283323 1
358 312 0.779001629314127 1
1187 1582 0.485111393790078 1
487 397 0.319784325087279 1
884 835 0.450247234149735 1
