"","eh1","eh2","p.val","adj.pval"
"110",680,646,0.365509051663921,0.99590037707584
"111",219,238,0.451271525773993,0.99590037707584
"112",265,256,0.816309693445815,1
"113",725,831,0.0851864335445051,0.99590037707584
"114",482,570,0.0165381386137291,0.870428348091007
"115",462,599,0.419495400224667,0.99590037707584
"116",856,752,0.352225598082372,0.99590037707584
"117",959,811,0.40974316968795,0.99590037707584
"118",1054,1401,0.111775899885632,0.99590037707584
"119",162,133,0.28266963417622,0.99590037707584
"120",737,734,0.977502517958993,1
"121",386,386,1,1
"122",1075,1044,0.514830593808753,0.99590037707584
"123",488,514,0.612325270918348,0.99590037707584
"124",290,287,0.935362903969957,1
"125",304,310,0.932913784993701,1
"126",501,445,0.666048973260466,1
"127",1074,852,0.164993632507229,0.99590037707584
"128",1355,1519,0.639016091295779,1
"129",519,500,0.904112037952197,1
"130",196,211,0.614575465822647,0.99590037707584
"131",847,516,0.0585013172763371,0.99590037707584
"132",806,794,0.911628099552613,1
"133",410,558,0.248131344681694,0.99590037707584
"134",204,149,0.313218741379903,0.99590037707584
"135",217,543,0.000408988465262379,0.408988465262379
"136",433,474,0.794117466908841,1
"137",261,189,0.162394980503878,0.99590037707584
"138",631,537,0.0160786414787635,0.870428348091007
"139",405,502,0.401355439408005,0.99590037707584
"140",461,495,0.490507143730222,0.99590037707584
"141",173,142,0.125009179228763,0.99590037707584
"142",288,281,0.816145592071069,1
"143",436,391,0.700990675949064,1
"144",353,337,0.815715614906462,1
"145",530,566,0.656448317309525,1
"146",734,518,0.307224797882558,0.99590037707584
"147",578,604,0.48455125946567,0.99590037707584
"148",350,332,0.710302731205494,1
"149",195,142,0.387502347678378,0.99590037707584
"150",717,852,0.0695266187698597,0.99590037707584
"151",473,268,0.0623773019300878,0.99590037707584
"152",399,347,0.548674542477687,0.99590037707584
"153",428,1410,0.00687998482164946,0.70303141129607
"154",309,295,0.797305935886371,1
"155",726,715,0.798392078202266,1
"156",704,647,0.804159296825049,1
"157",850,891,0.819008319664561,1
"158",383,414,0.613954327760113,0.99590037707584
"159",239,259,0.703538438028122,1
"160",1044,905,0.640991416740564,1
"161",757,782,0.694499235166351,1
"162",314,430,0.0378114358185536,0.99590037707584
"163",331,254,0.317114002557,0.99590037707584
"164",219,253,0.611631314848067,0.99590037707584
"165",592,732,0.499246189565461,0.99590037707584
"166",629,755,0.595923524214486,0.99590037707584
"167",142,133,0.70039572922432,1
"168",653,789,0.442733352485516,0.99590037707584
"169",724,742,0.936396061714416,1
"170",298,298,1,1
"171",173,241,0.312744801298207,0.99590037707584
"172",305,402,0.105256855240857,0.99590037707584
"173",263,239,0.765748331226798,1
"174",337,267,0.390314571767699,0.99590037707584
"175",655,561,0.415978600850955,0.99590037707584
"176",828,696,0.171404462210412,0.99590037707584
"177",829,839,0.846657126123862,1
"178",702,872,0.18163625482835,0.99590037707584
"179",890,975,0.556197337757434,0.99590037707584
"180",464,449,0.873981391237749,1
"181",430,492,0.404987715647967,0.99590037707584
"182",1369,1372,0.991926960439872,1
"183",850,772,0.525266303953294,0.99590037707584
"184",372,446,0.519984397421587,0.99590037707584
"185",1025,1046,0.91332582360278,1
"186",394,493,0.469236036576603,0.99590037707584
"187",449,571,0.449002550653012,0.99590037707584
"188",229,166,0.185561139825351,0.99590037707584
"189",544,683,0.219759612181331,0.99590037707584
"190",831,776,0.748142511645192,1
"191",324,291,0.497069133051716,0.99590037707584
"192",207,258,0.292478840587574,0.99590037707584
"193",222,270,0.483867368659998,0.99590037707584
"194",500,483,0.851354187328829,1
"195",606,442,0.327187169366954,0.99590037707584
"196",1094,1127,0.804994510659481,1
"197",525,524,0.999936657516334,1
"198",315,389,0.168865685535573,0.99590037707584
"199",800,737,0.115648779835577,0.99590037707584
"200",188,262,0.0202421245048676,0.941455693917085
"201",1025,1279,0.385318672802273,0.99590037707584
"202",766,812,0.758458237683104,1
"203",452,430,0.615009910986642,0.99590037707584
"204",743,735,0.976446913367892,1
"205",400,421,0.49210860113024,0.99590037707584
"206",1289,1149,0.616462333409945,0.99590037707584
"207",656,553,0.137896272801121,0.99590037707584
"208",938,826,0.368330748027622,0.99590037707584
"209",820,1031,0.0677182219969578,0.99590037707584
"210",233,163,0.305912907593246,0.99590037707584
"211",951,759,0.243575713162224,0.99590037707584
"212",1166,869,0.0714998861672738,0.99590037707584
"213",840,1034,0.327365161139213,0.99590037707584
"214",300,303,0.985023866600487,1
"215",748,753,0.978104416962795,1
"216",423,1032,0.00999098822182052,0.736657485303947
"217",664,575,0.596500801577269,0.99590037707584
"218",400,419,0.716274837123977,1
"219",963,1274,0.36521153060073,0.99590037707584
"220",526,591,0.696735032156886,1
"221",197,217,0.437805459267584,0.99590037707584
"222",770,616,0.487794817938331,0.99590037707584
"223",573,421,0.247674613039671,0.99590037707584
"224",508,499,0.842672255018217,1
"225",334,247,0.222164930930835,0.99590037707584
"226",691,609,0.417785925241315,0.99590037707584
"227",738,799,0.506729219902721,0.99590037707584
"228",178,291,0.101411907223788,0.99590037707584
"229",582,451,0.441014979466055,0.99590037707584
"230",606,519,0.639258059456899,1
"231",1547,1539,0.987155609171037,1
"232",744,904,0.45129128214182,0.99590037707584
"233",2090,2059,0.652937376494589,1
"234",252,245,0.794077313286272,1
"235",145,99,0.310609657967959,0.99590037707584
"236",1444,1391,0.400672054820205,0.99590037707584
"237",123,128,0.8140337109136,1
"238",1297,875,0.201981002274657,0.99590037707584
"239",271,381,0.159298600312337,0.99590037707584
"240",1013,632,0.182604726852001,0.99590037707584
"241",440,443,0.946294715681753,1
"242",993,701,0.0295389605894136,0.952869696432698
"243",819,830,0.822996023660059,1
"244",971,990,0.695212138164496,1
"245",374,279,0.266834152704856,0.99590037707584
"246",1468,1561,0.301068326298482,0.99590037707584
"247",281,247,0.646706780598204,1
"248",454,491,0.497791240156799,0.99590037707584
"249",809,722,0.438360351673514,0.99590037707584
"250",786,727,0.318346704811841,0.99590037707584
"251",629,711,0.666213104593258,1
"252",483,357,0.362053520809738,0.99590037707584
"253",841,946,0.487160329901382,0.99590037707584
"254",133,131,0.965179466813877,1
"255",570,497,0.027682761743514,0.952869696432698
"256",466,492,0.557641186675828,0.99590037707584
"257",516,426,0.219565987548859,0.99590037707584
"258",849,825,0.887572701191495,1
"259",312,296,0.785885103943254,1
"260",418,573,0.0216556254413394,0.941455693917085
"261",1619,1335,0.228661475705531,0.99590037707584
"262",394,384,0.79423868374226,1
"263",1079,1318,0.361348570861272,0.99590037707584
"264",358,387,0.305796839684361,0.99590037707584
"265",511,488,0.898219414579729,1
"266",831,805,0.563118780692613,0.99590037707584
"267",388,372,0.821955350570132,1
"268",339,332,0.946038226879792,1
"269",580,588,0.937607041634914,1
"270",715,923,0.260970657137894,0.99590037707584
"271",311,275,0.417531629192147,0.99590037707584
"272",502,460,0.472474383271773,0.99590037707584
"273",416,845,0.0530921479906506,0.99590037707584
